Country_Name,Country_Code,Year,Access_to_Electricity,Adjusted_Net_National_Income_Per_Capita,Population,Population_density,Surface_area,CO2_Emissions
Afghanistan,AFG,2000,4.4,NA,19542982,29.963328887049,652860,10.712
Afghanistan,AFG,2001,9.3,NA,19688632,30.1866396823207,652860,0.9883
Afghanistan,AFG,2002,14.1,NA,21000256,32.1976235377091,652860,0.9729
Afghanistan,AFG,2003,19,NA,22645130,34.7195467856431,652860,10.588
Afghanistan,AFG,2004,23.8,NA,23553551,36.112339205495,652860,0.9392
Afghanistan,AFG,2005,28.7,NA,24411191,37.4272741210923,652860,13.338
Afghanistan,AFG,2006,33.5,NA,25442944,39.0091593456296,652860,14.774
Afghanistan,AFG,2007,38.4,NA,25903301,39.7149793784401,652860,20.636
Afghanistan,AFG,2008,42.4,NA,26427199,40.5182205663646,652860,40.296
Afghanistan,AFG,2009,48.3,404.6013546769842,27385307,41.9871931680542,652860,64.864
Afghanistan,AFG,2010,42.7,506.922383976213,28189672,43.2204467749107,652860,80.863
Afghanistan,AFG,2011,43.2,568.5774104983402,29249157,44.8448507428361,652860,118.006
Afghanistan,AFG,2012,69.1,607.6121178130627,30466479,46.7112506324456,652860,101.766
Afghanistan,AFG,2013,68,598.8995846163791,31541209,48.3590282569032,652860,86.911
Afghanistan,AFG,2014,89.5,577.2601843509807,32716210,50.160541526762,652860,82.797
Afghanistan,AFG,2015,71.5,550.241360031403,33753499,51.7509145546816,652860,87.196
Afghanistan,AFG,2016,97.7,485.7922294044408,34636207,53.1042837649295,652860,79.373
Afghanistan,AFG,2017,97.7,498.04122115479777,35643418,54.6485411587937,652860,85.469
Afghanistan,AFG,2018,93.4,467.2860344326284,36686784,56.2482314520951,652860,81.289
Afghanistan,AFG,2019,97.7,469.47776010933046,37769499,57.9082516903546,652860,74.479
Afghanistan,AFG,2020,97.7,476.8990597364072,38972230,59.7522806371985,652860,54.687
Afghanistan,AFG,2021,97.7,339.68211440290645,40099462,61.4805544056544,652860,56.392
Aruba,ABW,2000,91.7,18604.83443916735,89101,495.005555555556,180,0.2461
Aruba,ABW,2001,100,18128.18246753603,90691,503.838888888889,180,0.2541
Aruba,ABW,2002,100,17676.121217246488,91781,509.894444444444,180,0.2726
Aruba,ABW,2003,100,19169.39442891296,92701,515.005555555556,180,0.3166
Aruba,ABW,2004,100,20771.109415231025,93540,519.666666666667,180,0.327
Aruba,ABW,2005,100,17354.655943640868,94483,524.905555555556,180,0.3582
Aruba,ABW,2006,100,22021.670315181684,95606,531.144444444444,180,0.3856
Aruba,ABW,2007,100,20791.855272045108,96787,537.705555555556,180,0.4245
Aruba,ABW,2008,100,24816.242379671414,97996,544.422222222222,180,0.4208
Aruba,ABW,2009,100,22257.058757249422,99212,551.177777777778,180,0.4581
Aruba,ABW,2010,93.4,20513.792952012936,100341,557.45,180,0.4501
Aruba,ABW,2011,100,20830.501780529878,101288,562.711111111111,180,0.2754
Aruba,ABW,2012,100,21813.971803901502,102112,567.288888888889,180,0.3685
Aruba,ABW,2013,100,22115.61421334652,102880,571.555555555556,180,0.4249
Aruba,ABW,2014,100,23111.232224385585,103594,575.522222222222,180,0.4353
Aruba,ABW,2015,100,24093.582638891297,104257,579.205555555556,180,0.4367
Aruba,ABW,2016,100,24018.878424644143,104874,582.633333333333,180,0.4537
Aruba,ABW,2017,100,24457.6022653116,105439,585.772222222222,180,0.4268
Aruba,ABW,2018,100,24859.52543525075,105962,588.677777777778,180,0.4611
Aruba,ABW,2019,100,26702.13215664953,106442,591.344444444444,180,0.5338
Aruba,ABW,2020,100,20971.438087209837,106585,592.138888888889,180,0.4536
Aruba,ABW,2021,100,24994.77298797704,106537,591.872222222222,180,0.438
Bangladesh,BGD,2000,32,392.89765998592793,129193327,992.49694245986,148460,264.911
Bangladesh,BGD,2001,35,388.52983856387664,131670484,1011.52711070139,148460,320.811
Bangladesh,BGD,2002,37.8,390.1791648034813,134139826,1030.49724206806,148460,337.648
Bangladesh,BGD,2003,40.5,422.0109221439788,136503206,1048.65334562495,148460,353.627
Bangladesh,BGD,2004,40.6,450.7535714881847,138789725,1066.21898286856,148460,373.599
Bangladesh,BGD,2005,44.2,473.6404169715524,140912590,1082.52738726281,148460,397.724
Bangladesh,BGD,2006,50.5,484.9092377784797,142628831,1095.71199969271,148460,427.606
Bangladesh,BGD,2007,46.5,537.441578718239,144135934,1107.28995928401,148460,451.995
Bangladesh,BGD,2008,54.3,622.1783317265051,145421318,1117.1646155028,148460,505.364
Bangladesh,BGD,2009,57.1,691.2005162898164,146706810,1127.04010140585,148460,537.296
Bangladesh,BGD,2010,55.3,768.8680503888713,148391139,1139.97955750173,148460,595.502
Bangladesh,BGD,2011,59.6,845.2144903131499,150211005,1153.96024429592,148460,633.987
Bangladesh,BGD,2012,65.5,870.414581415607,152090649,1168.40016132749,148460,68.091
Bangladesh,BGD,2013,61.5,964.944097362783,154030139,1183.29983099024,148460,718.655
Bangladesh,BGD,2014,62.4,1082.6609889077674,155961299,1198.13550741338,147630,756.482
Bangladesh,BGD,2015,74,1205.9318368434328,157830000,1212.49135745563,147630,846.333
Bangladesh,BGD,2016,75.9,1590.937290639394,159784568,1227.50686025966,147630,928.755
Bangladesh,BGD,2017,88,1716.254391932007,161793964,1242.94356610586,147977,NA
Bangladesh,BGD,2018,86.9,1868.098125022276,163683958,1257.46299454559,147570,109.984
Bangladesh,BGD,2019,92.2,2178.80295519644,165516222,1271.53892601982,147570,NA
Bangladesh,BGD,2020,96.2,2290.392475298202,167420951,1286.17155258508,147570,997.782
Bangladesh,BGD,2021,99,2541.71174641412,169356251,1301.03903357148,147570,NA
Bolivia,BOL,2000,70,835.7543240773294,8592656,7.93192652081602,1098580,81.038
Bolivia,BOL,2001,69.3,807.2583243949636,8746084,8.0735567248223,1098580,78.133
Bolivia,BOL,2002,64,767.4648698111281,8900583,8.21617557463307,1098580,83.467
Bolivia,BOL,2003,72.3,754.939363961726,9057378,8.36091387427305,1098580,89.081
Bolivia,BOL,2004,75.9,781.3538556343791,9216279,8.50759623373027,1098580,93.865
Bolivia,BOL,2005,68.3,814.3920887235059,9377388,8.65631680974799,1098580,98.783
Bolivia,BOL,2006,76.2,941.627236939215,9542663,8.80888304255516,1098580,10.709
Bolivia,BOL,2007,80.2,1070.5102366226374,9711152,8.9644161358811,1098580,119.249
Bolivia,BOL,2008,84.7,1377.4771736431003,9880593,9.12082802547771,1098580,127.492
Bolivia,BOL,2009,86.8,1448.6596150968874,10051317,9.27842425920798,1098580,135.964
Bolivia,BOL,2010,88,1576.3966151653335,10223270,9.43715498938429,1098580,147.076
Bolivia,BOL,2011,88.3,1837.4706132314584,10396246,9.59683005630943,1098580,160.021
Bolivia,BOL,2012,90.4,1962.1297029575776,10569697,9.75694359826456,1098580,169.694
Bolivia,BOL,2013,89.5,2189.597599281248,10743349,9.91724268439029,1098580,18.024
Bolivia,BOL,2014,90,2371.150807937556,10916987,10.0775288470414,1098580,19.309
Bolivia,BOL,2015,91.5,2515.201526724809,11090085,10.2373165328164,1098580,198.345
Bolivia,BOL,2016,91.8,2598.9875010777755,11263015,10.3969491368965,1098580,212.787
Bolivia,BOL,2017,91.8,2742.074657026131,11435533,10.5562014215822,1098580,21.648
Bolivia,BOL,2018,92.8,2882.4018620899974,11606905,10.7143958275639,1098580,21.851
Bolivia,BOL,2019,95.1,2914.4925099051097,11777315,10.8717022062217,1098580,218.707
Bolivia,BOL,2020,97.2,2626.220705349768,11936162,11.0183347179913,1098580,184.606
Bolivia,BOL,2021,98.6,2625.319924751943,12079472,11.1506249423059,1098580,218.668
Brazil,BRA,2000,94.4,3049.840015708788,175873720,21.0422079553585,8515770,NA
Brazil,BRA,2001,96,2553.03127528659,178211881,21.3219545257677,8515770,NA
Brazil,BRA,2002,96.7,2280.035938791091,180476685,21.5929243826976,8515770,NA
Brazil,BRA,2003,97,2467.249663783104,182629278,21.8504688842254,8515770,NA
Brazil,BRA,2004,96.8,2943.664134712028,184722043,22.1008553338422,8515770,NA
Brazil,BRA,2005,97.1,3854.84328249938,186797334,22.3491511269254,8515770,365.166
Brazil,BRA,2006,97.6,4774.95962537831,188820682,22.591232259809,8515770,NA
Brazil,BRA,2007,98.1,5996.46902170707,190779453,22.8255871521654,8515770,389.064
Brazil,BRA,2008,98.5,7084.238256223078,192672317,23.0520566776819,8515770,NA
Brazil,BRA,2009,98.9,6849.15578857777,194517549,23.2728273276112,8515770,NA
Brazil,BRA,2010,98.6,8758.135584954507,196353492,23.4924866058716,8515770,436.393
Brazil,BRA,2011,99.3,10109.91803187968,198185302,23.711651396124,8515770,NA
Brazil,BRA,2012,99.5,9206.275017920672,199977707,23.9261016206955,8515770,NA
Brazil,BRA,2013,99.6,9304.493237585064,201721767,24.1347676636189,8515770,NA
Brazil,BRA,2014,99.7,9089.283144215424,203459650,24.3426946665167,8515770,NA
Brazil,BRA,2015,99.7,6552.617212535389,205188205,24.5495056316357,8515770,NA
Brazil,BRA,2016,99.7,6449.635997244662,206859578,24.7494751224555,8515770,NA
Brazil,BRA,2017,99.8,7502.893701804983,208504960,24.9463349501205,8515770,NA
Brazil,BRA,2018,99.7,6849.38818650754,210166592,25.1451389902538,8515770,468.764
Brazil,BRA,2019,99.8,6679.167884003777,211782878,25.3385176606278,8515770,468.014
Brazil,BRA,2020,99.7,5253.753204467888,213196304,25.5076253807665,8515770,NA
Brazil,BRA,2021,99.5,5647.1339147130875,214326223,25.6428132335663,8515770,NA
Cambodia,KHM,2000,16.6,275.9906559001731,12118841,68.65420915477,181040,20.009
Cambodia,KHM,2001,9.5,293.80290139046144,12338192,69.8968502152731,181040,21.872
Cambodia,KHM,2002,13.1,306.71596778523167,12561779,71.1634885565375,181040,22.475
Cambodia,KHM,2003,19.3,328.706689254826,12787710,72.443405846363,181040,24.176
Cambodia,KHM,2004,14.2,368.00353581560177,13016371,73.738788805801,181040,24.191
Cambodia,KHM,2005,20.5,425.6047640598696,13246583,75.0429583050079,181040,27.008
Cambodia,KHM,2006,27.5,482.4095484025573,13477779,76.3527022433719,181040,30.073
Cambodia,KHM,2007,20.2,566.2409997894244,13714791,77.6953942895989,181040,36.965
Cambodia,KHM,2008,26.4,664.4094928737875,13943888,78.9932472241106,181040,40.967
Cambodia,KHM,2009,25.6,648.5348743622383,14155740,80.193405846363,181040,48.736
Cambodia,KHM,2010,31.1,694.4357583965706,14363532,81.3705642420122,181040,51.579
Cambodia,KHM,2011,37.4,776.740055725155,14573885,82.5622309086789,181040,53.633
Cambodia,KHM,2012,42.3,832.7312062730479,14786640,83.7675050985724,181040,56.303
Cambodia,KHM,2013,50.9,882.1398837785706,14999683,84.9744108316338,181040,56.916
Cambodia,KHM,2014,56.1,944.8351920796364,15210817,86.1705019261274,181040,70.289
Cambodia,KHM,2015,62.7,1006.8996658824052,15417523,87.3415080444142,181040,85.142
Cambodia,KHM,2016,68.8,1100.722298720235,15624584,88.5145252662588,181040,105.914
Cambodia,KHM,2017,89.1,1199.9352892322818,15830689,89.6821266711987,181040,118.491
Cambodia,KHM,2018,80.7,1305.944544638451,16025238,90.7842624065262,181040,123.362
Cambodia,KHM,2019,84,1413.8263934238482,16207746,91.8181849082257,181040,160.476
Cambodia,KHM,2020,86.4,1357.81296884756,16396860,92.8895309313392,181040,166.003
Cambodia,KHM,2021,82.5,1374.9348856050651,16589023,93.9781497847269,181040,175.165
Chad,TCD,2000,3.1,141.17840938058782,8259137,6.55903510165184,1284000,0.2476
Chad,TCD,2001,3.4,173.41223995802338,8538804,6.78113405336722,1284000,0.2456
Chad,TCD,2002,3.8,185.2337936431032,8838369,7.01903510165184,1284000,0.2642
Chad,TCD,2003,4.1,196.34510552169408,9196366,7.30334021601016,1284000,0.3931
Chad,TCD,2004,3.5,231.1989634307588,9613503,7.63461165819568,1284000,0.4397
Chad,TCD,2005,4.8,358.79177849646254,10005012,7.94553049555273,1284000,0.464
Chad,TCD,2006,5.1,392.90542025188176,10365614,8.2319043837357,1284000,0.4841
Chad,TCD,2007,5.5,466.53327943962603,10722731,8.51551064167726,1284000,0.5556
Chad,TCD,2008,5.9,518.2184237575955,11098664,8.81405972045743,1284000,0.4743
Chad,TCD,2009,6.3,598.5296622491545,11496128,9.12970775095299,1284000,0.482
Chad,TCD,2010,6.4,658.0416369080625,11894727,9.44625714739517,1284000,0.509
Chad,TCD,2011,9,697.3580502655944,12317730,9.78218710292249,1284000,0.669
Chad,TCD,2012,7.8,701.4550702144868,12754906,10.1293726175349,1284000,11.972
Chad,TCD,2013,8.1,712.2861998055341,13216766,10.4961610546379,1284000,1.299
Chad,TCD,2014,8.4,774.0643005452457,13697126,10.8776413595934,1284000,1.396
Chad,TCD,2015,7.7,598.2705844120036,14140274,11.2295695679797,1284000,15.922
Chad,TCD,2016,9.2,521.8996154552837,14592585,11.5887746188056,1284000,16.224
Chad,TCD,2017,10.9,472.59415206712976,15085884,11.9805304955527,1284000,2.097
Chad,TCD,2018,10.1,527.8435345959475,15604210,12.3921616899619,1284000,22.064
Chad,TCD,2019,8.4,513.1965778403436,16126866,12.8072315756036,1284000,22.603
Chad,TCD,2020,10.9,455.87675894880056,16644701,13.2184728398983,1284000,19.781
Chad,TCD,2021,11.3,486.3379823454249,17179740,13.643376747141,1284000,21.243
China,CHN,2000,96.7,798.025383405993,1262645000,134.492481002789,9562920,NA
China,CHN,2001,97,876.8712485553012,1271850000,135.473048750848,9562914.2,NA
China,CHN,2002,97.2,965.1136191436112,1280400000,136.383779609948,9562913.2,4143.91
China,CHN,2003,97.4,1084.0777355583514,1288400000,137.235919250104,9562912.7,NA
China,CHN,2004,97.7,1246.4715169868407,1296075000,138.053436689892,9562912.5,NA
China,CHN,2005,97.9,1428.7871446123247,1303720000,138.867766063821,9562911.8,NA
China,CHN,2006,98.2,1700.974005657122,1311020000,139.645342881819,9562911.4,NA
China,CHN,2007,98.5,2168.1968899697545,1317885000,140.376588050196,9562910.8,NA
China,CHN,2008,98.8,2703.096788988764,1324655000,141.097705219827,9562910.8,NA
China,CHN,2009,99.1,3041.782138981476,1331260000,141.801244134798,9562911,NA
China,CHN,2010,99.7,3487.2589929554947,1337705000,142.487743405,9562911,NA
China,CHN,2011,99.9,4132.672200880118,1345035000,143.268509836432,9562911,NA
China,CHN,2012,99.9,4770.26318228205,1354190000,144.243669001474,9562911,NA
China,CHN,2013,100,5239.785134007379,1363240000,145.207643927049,9562911,NA
China,CHN,2014,100,5753.408667802121,1371860000,146.125816729087,9562911,NA
China,CHN,2015,100,6012.71864865345,1379860000,146.977949259981,9562911,NA
China,CHN,2016,100,6078.485221504067,1387790000,147.822641376791,9562910,NA
China,CHN,2017,100,6658.943734734787,1396215000,148.720043543977,9562910,NA
China,CHN,2018,100,7331.859806010509,1402760000,149.417194545073,9562910,NA
China,CHN,2019,100,7470.1138148591535,1407745000,149.948179684945,9562910,NA
China,CHN,2020,100,7510.442655693926,1411100000,150.305542803154,9562910,NA
China,CHN,2021,100,9015.348004136766,1412360000,150.439753691066,9562910,NA
Czechia,CZE,2000,100,4584.305928142587,10255063,132.717264138734,78870,131.655
Czechia,CZE,2001,100,5013.579633846223,10216605,132.219554807817,78870,NA
Czechia,CZE,2002,100,6065.42088764041,10196916,131.96474699107,78870,NA
Czechia,CZE,2003,100,7403.995126189714,10193998,131.926983305293,78870,NA
Czechia,CZE,2004,100,8761.890754352085,10197101,131.984222107171,78870,130.888
Czechia,CZE,2005,100,10122.688799203152,10211216,132.166916903961,78870,128.542
Czechia,CZE,2006,100,11309.785249799954,10238905,132.542459546926,78870,NA
Czechia,CZE,2007,100,13667.796777466136,10298828,133.318161812298,78870,131.169
Czechia,CZE,2008,100,16823.85388734909,10384603,134.445921802175,78870,NA
Czechia,CZE,2009,100,14319.404179343974,10443936,135.214085965821,78870,NA
Czechia,CZE,2010,100,14232.53146455304,10474410,135.626181535673,78870,120.345
Czechia,CZE,2011,100,15447.399675160976,10496088,135.90687556649,78870,117.555
Czechia,CZE,2012,100,14334.344304900158,10510785,136.097177262722,78870,NA
Czechia,CZE,2013,100,14511.85954983474,10514272,136.159958559959,78870,108.945
Czechia,CZE,2014,100,14284.856685489418,10525347,136.30337995338,78870,NA
Czechia,CZE,2015,100,12903.368094770947,10546059,136.589288952208,78870,NA
Czechia,CZE,2016,100,13479.639182783772,10566332,136.851858567543,78870,NA
Czechia,CZE,2017,100,15315.252111987253,10594438,137.21587877218,78870,NA
Czechia,CZE,2018,100,17451.20066787583,10629928,137.675534257221,78870,NA
Czechia,CZE,2019,100,17471.655286562054,10671870,138.226810266108,78870.04,NA
Czechia,CZE,2020,100,16844.235107959368,10697858,138.575928842168,78871.01,942.044
Czechia,CZE,2021,100,19843.782905674994,10505772,136.108349053848,78871.04,NA
Finland,FIN,2000,100,20068.26190919764,5176209,16.9940214714863,338150,572.604
Finland,FIN,2001,100,20702.81710929339,5188008,17.0327587905053,338150,632.357
Finland,FIN,2002,100,22457.67490729047,5200598,17.0740930431071,338150,653.519
Finland,FIN,2003,100,27056.452951433665,5213014,17.1148560359828,338150,737.414
Finland,FIN,2004,100,31502.685400225164,5228172,17.1646212941988,338150,70.017
Finland,FIN,2005,100,32328.40154971297,5246096,17.2234676122,338150,577.818
Finland,FIN,2006,100,34313.956944252175,5266268,17.3169839860577,338440,69.362
Finland,FIN,2007,100,40174.256158745775,5288720,17.3919563287185,338420,674.393
Finland,FIN,2008,100,44209.86342584625,5313399,17.4840375123396,338420,590.946
Finland,FIN,2009,100,38788.56062771755,5338871,17.5678545574202,338420,565.001
Finland,FIN,2010,100,38296.2127011865,5363352,17.6484106614018,338420,65.397
Finland,FIN,2011,100,41789.9558751726,5388272,17.7309947678436,338420,57.768
Finland,FIN,2012,100,38711.30978583724,5413971,17.8155615518773,338420,519.019
Finland,FIN,2013,100,40439.56724799448,5438972,17.897831452170202,338420,530.017
Finland,FIN,2014,100,41149.74787975601,5461512,17.9720030274112,338420,490.463
Finland,FIN,2015,100,35093.91463971022,5479531,18.0301108880919,338446,456.594
Finland,FIN,2016,100,35796.98257574041,5495303,18.0820078312658,338450,484.776
Finland,FIN,2017,100,37839.34243894573,5508214,18.1238944459068,338450,455.711
Finland,FIN,2018,100,40864.148368594106,5515525,18.1479501184522,338450,471.684
Finland,FIN,2019,100,39659.4052411715,5521606,18.1673609054717,338460,437.069
Finland,FIN,2020,100,40405.34387400044,5529543,18.1928768835954,338460,390.201
Finland,FIN,2021,100,44416.20019893984,5541017,18.2301659134121,338470,390.503
